cls	gene	meta_long	meta_short	topidp_long	topidp_short	meta_delta	topidp_delta	boundary_cross
slim	DCAF4	0.052742861211299896	0.0803999975323677	-0.09485714285714286	0.06	-0.02765713632106781	-0.15485714285714286	0
slim	UBAP2L	0.8778833150863647	0.9691374897956848	0.09872222222222223	0.14150000000000001	-0.09125417470932007	-0.04277777777777779	0
slim	DPP10	0.9575778245925903	0.9693818688392639	0.21005555555555555	0.33736363636363637	-0.011804044246673584	-0.12730808080808081	0
slim	NAP1L1	0.9607444405555725	0.8055499792098999	0.4116666666666667	-0.289	0.1551944613456726	0.7006666666666667	0
slim	MYL6	0.11686000972986221	0.133760005235672	-0.09580000000000001	-0.020200000000000006	-0.016899995505809784	-0.0756	0
slim	C1orf21	0.31981000304222107	0.6767250299453735	0.0885	0.19887499999999997	-0.35691502690315247	-0.11037499999999997	1
slim	SGTA	0.17296428978443146	0.6800571084022522	0.09924999999999999	0.1345714285714286	-0.5070928186178207	-0.0353214285714286	1
slim	NFIX	0.4928250014781952	0.4420333206653595	-0.15500000000000003	-0.028666666666666674	0.05079168081283569	-0.12633333333333335	0
slim	PFN1	0.09101539105176926	0.46889999508857727	0.023025641025641023	-0.40933333333333327	-0.377884604036808	0.4323589743589743	0
slim	C8orf88	0.13052856922149658	0.6563230752944946	0.05950000000000001	-0.17561538461538462	-0.525794506072998	0.23511538461538461	1
slim	TUBB2A	0.5558440089225769	0.06868749856948853	0.27519999999999994	0.0575625	0.4871565103530884	0.21763749999999993	1
slim	CAMK2D	0.7122730612754822	0.012839999981224537	0.11980769230769231	-0.0914	0.6994330612942576	0.21120769230769232	1
slim	PPARGC1B	0.5458521842956543	0.6295470595359802	0.1317391304347826	0.14135294117647063	-0.08369487524032593	-0.009613810741688017	0
slim	APP	0.5588200092315674	0.31040000915527344	0.19640000000000002	-0.486	0.24842000007629395	0.6824	1
slim	CDK2AP1	0.9071419835090637	0.8625538945198059	0.12851612903225806	0.15576923076923077	0.04458808898925781	-0.027253101736972707	0
slim	RAD51C	0.6954281330108643	0.04569999873638153	0.233125	-0.486	0.6497281342744827	0.719125	1
slim	CPEB2	0.9373143315315247	0.7986000180244446	0.07717857142857143	-0.397	0.13871431350708008	0.47417857142857145	0
slim	CELF2	0.3881444036960602	0.8441362977027893	0.030555555555555572	0.24081818181818182	-0.4559918940067291	-0.21026262626262626	1
slim	TMEM87B	0.0170294139534235	0.026947058737277985	-0.1506470588235294	0.009705882352941186	-0.009917644783854485	-0.1603529411764706	0
slim	FIP1L1	0.7905750274658203	0.7788384556770325	0.1178125	0.20061538461538458	0.011736571788787842	-0.08280288461538458	0
slim	KLHL4	0.23451174795627594	0.1711866557598114	0.04005882352941176	0.09426666666666668	0.06332509219646454	-0.05420784313725492	0
slim	ZNF106	0.26981669664382935	0.8697571158409119	0.1109	0.4187142857142857	-0.5999404191970825	-0.3078142857142857	1
