"gene_id","feature_id","lr","df","pvalue","adj_pvalue","cell_type"
"AAK1","AAK1-201",0.267632025996647,1,0.604924670559575,1,"Inhibitory_neuron"
"AAK1","AAK1-203",0.267632025996647,1,0.604924670559575,1,"Inhibitory_neuron"
"AAMP","AAMP-201",5.29314992998042,1,0.0214094614816834,0.73463073351105,"Inhibitory_neuron"
"AAMP","AAMP-208",4.17518590419672,1,0.04102006218718,0.8533327681774,"Inhibitory_neuron"
"AAMP","AAMP-204",0.501238667213386,1,0.478956367629598,1,"Inhibitory_neuron"
"AAR2","AAR2-202",2.41141902159211,1,0.120453134620074,0.938741705457724,"Inhibitory_neuron"
"AAR2","AAR2-206",0.280483629729702,1,0.596384403798273,1,"Inhibitory_neuron"
"AAR2","AAR2-201",3.81864651171611,1,0.0506851657320058,0.896368839645744,"Inhibitory_neuron"
"AARS1","AARS1-225",4.18783466743707,1,0.0407150695766639,0.8533327681774,"Inhibitory_neuron"
"AARS1","AARS1-201",4.18783466743707,1,0.0407150695766639,0.8533327681774,"Inhibitory_neuron"
"ABAT","ABAT-201",0.374820647630713,1,0.54038825652937,1,"Inhibitory_neuron"
"ABAT","ABAT-202",0.374820647630713,1,0.54038825652937,1,"Inhibitory_neuron"
"ABCA5","ABCA5-208",1.03777001006688,1,0.308340676286135,0.999714313393652,"Inhibitory_neuron"
"ABCA5","ABCA5-201",0.126517198559668,1,0.722070816007562,1,"Inhibitory_neuron"
"ABCA5","ABCA5-213",1.29183818897241,1,0.255709472026338,0.999714313393652,"Inhibitory_neuron"
"ABCC5","ABCC5-201",1.76226866670731,1,0.184341793930553,0.969476580758611,"Inhibitory_neuron"
"ABCC5","ABCC5-202",1.36923178772849,1,0.241943917044839,0.999714313393652,"Inhibitory_neuron"
"ABCC5","ABCC5-205",-0.356075370485087,1,1,1,"Inhibitory_neuron"
"ABCC8","ABCC8-280",0.24018966452627,1,0.624069162617927,1,"Inhibitory_neuron"
"ABCC8","ABCC8-210",0.220668253800795,1,0.638531213593943,1,"Inhibitory_neuron"
"ABCC8","ABCC8-257",3.89448369428192,1,0.048444927473254,0.896368839645744,"Inhibitory_neuron"
"ABCC8","ABCC8-253",0.0334439498137726,1,0.854894631389615,1,"Inhibitory_neuron"
"ABI1","ABI1-202",0.0352688325246504,1,0.851033451369763,1,"Inhibitory_neuron"
"ABI1","ABI1-206",2.49819308916204,1,0.113977000353533,0.938741705457724,"Inhibitory_neuron"
"ABI1","ABI1-204",2.17866652423868,1,0.139935660286049,0.956002756088826,"Inhibitory_neuron"
"ABTB3","ABTB3-201",0.14769072963054,1,0.700752020150306,1,"Inhibitory_neuron"
"ABTB3","ABTB3-202",0.14769072963054,1,0.700752020150306,1,"Inhibitory_neuron"
"ACAA1","ACAA1-202",0.304166035472463,1,0.581282401543435,1,"Inhibitory_neuron"
"ACAA1","ACAA1-203",0.304166035472463,1,0.581282401543435,1,"Inhibitory_neuron"
"ACADM","ACADM-202",0.331764487013004,1,0.564621936764464,1,"Inhibitory_neuron"
"ACADM","ACADM-220",1.59890863196964,1,0.206057942076909,0.993158128382802,"Inhibitory_neuron"
"ACADM","ACADM-230",0.535933534898163,1,0.464122904745905,1,"Inhibitory_neuron"
"ACOT7","ACOT7-204",2.01641081207231,1,0.155606572712575,0.961154958000174,"Inhibitory_neuron"
"ACOT7","ACOT7-201",2.01641081207231,1,0.155606572712575,0.961154958000174,"Inhibitory_neuron"
"ACSL3","ACSL3-201",0.0608201645095505,1,0.805204301811502,1,"Inhibitory_neuron"
"ACSL3","ACSL3-231",0.0941981171533826,1,0.758906459432172,1,"Inhibitory_neuron"
"ACSL3","ACSL3-202",1.0446691834743,1,0.306738024314533,0.999714313393652,"Inhibitory_neuron"
"ACSL4","ACSL4-211",0.0485866852668551,1,0.825541052014259,1,"Inhibitory_neuron"
"ACSL4","ACSL4-205",1.63908468594582,1,0.200451099124432,0.984473543280479,"Inhibitory_neuron"
"ACSL4","ACSL4-204",0.699486165719236,1,0.402956403881345,1,"Inhibitory_neuron"
